Technology Sub Area	Question	Complexity	Keywords for Answer/ Answer
Hadoop basics	What are the 'V' s used to describe big data	Simple	
Hadoop basics	What is Pig used for?	Simple	
Hadoop basics	what is jps command	Simple	
Hadoop basics	What are the port numbers for job tracker, task tracker, and Namenode?	Simple	
Hadoop basics	Simple algorithms on a large dataset produces much accurate results than a complex algorithm on a small dataset, as in a large dataset, data speaks out the reality better - True/False.	Simple	
Hadoop basics	what are the parameters of mappers	Simple	
Hadoop basics	what are the parameters of reducers	Simple	
Hadoop basics	What is streaming in Hadoop?	Simple	
Hadoop basics	Hadoop Deamons - HDFS and MapReduce Specific and their roles	Simple	
Hadoop basics	YARN - Why we use Yarn, Architecture	Medium	
Hadoop basics	Speculative Execution, and Heartbeat frequncy	Simple	
Hadoop basics	Hadoop Compression techniques	Complex	
Hadoop HDFS	How can a distributed filesystem such as HDFS provide opportunities for optimization of a MapReduce operation	Medium	



Hadoop HDFS	Which is parent abstract class of Hadoop FileSystem	Simple	
Hadoop HDFS	A hadoop client communicates with a JobTracker. Can it also communicate with the NameNode and with any DataNode?	Simple	
Hadoop HDFS	What is the default size of file used by Master node to store the metadata of chunks?	Simple	
Hadoop HDFS	Who keeps metadata information about slave nodes?	Medium	
Hadoop HDFS	HDFS can be accessed by Java API exposed by Hadoop. How to access the same in other languages like C++, PHP, and Python etc.?	Simple	
Hadoop HDFS	What is the default port for NameNode service on HDFS (fs.default.name is set to hdfs://localhost/ ) ?	Simple	
Hadoop HDFS	What is the command to copy a file from local filesystem to HDFS?	Medium	
Hadoop HDFS	What are the design goals of HDFS?	Medium	
Hadoop HDFS	What is HDFS Block size? How is it different from traditional file system block size?	Simple	
Hadoop HDFS	What is Replication Factor? Since the data is replicated thrice (replication factor) in HDFS, does it mean that any calculation done on one node will also be replicated on the other two?	Medium	
Hadoop HDFS	What is a Namenode? Is Namenode commodity hardware? 	Simple	
Hadoop HDFS	What is a Datanode?	 	
Hadoop HDFS	How does Hadoop process record split across block boundaries?	Simple	
Hadoop HDFS	what does split and block mean in hadoop	Simple	
Hadoop HDFS	Difference between HDFS & NAS	Medium	
Hadoop HDFS	How NameNode Handles data node failures?	Medium	
Hadoop HDFS	what are the key features of HDFS	Simple	
Hadoop HDFS	Replication causes data redundancy, then why is it pursued in HDFS?	Medium	
Hadoop HDFS	Why do we use HDFS for applications having large data sets and not when there are lot of small files?	Medium	
Hadoop HDFS	If a data Node is full how it’s identified?	Medium	
Hadoop HDFS	Which are the two types of ‘writes’ in HDFS?	Medium	
Hadoop HDFS	How does Hadoop process record split across block boundaries?	 	
Hadoop MapReduce	100 mappers & 1 reducer – How can we improve performance?	 	
Hadoop MapReduce	How to increase MapR memory	 	
Hadoop MapReduce	Benefits of using counters	 	
Hadoop MapReduce	Input split; Record reader - what are they?	 	
Hadoop MapReduce	What is the general approach to error recovery when using MapReduce?	 	
Hadoop MapReduce	What is the input to Reduce function?	Simple	
Hadoop MapReduce	What is Flume?	Simple	
Hadoop MapReduce	Which daemon is responsible for replication of data in Hadoop?	Simple	
Hadoop MapReduce	In a pseudo distributed mode,you have written a map reduce program with Mapper , Reducer and Custom Partitioner classes and you have set number of reducers as 4. How many output files are created?	 	
Hadoop MapReduce	What is the disadvantage of using multiple reducers with the default HashPartitioner and distributing your workload across the cluster?	Medium	
